Place,Car Num,Team,Document Penalty,Raw Score,Late Penalty,Status,Score
1,19,Univ of Illinois - Urbana Champaign,,150,,Final,150
2,131,Wroclaw University of Technology,,138,,Final,138
3,33,Purdue Univ - W Lafayette,,126,,Final,126
4,44,Univ of Waterloo,,116,,Final,116
5    T,14,California Polytechnic State Univ-SLO,,123,10,Final,113
5    T,53,Michigan State University,,113,,Final,113
7,36,North Carolina State Univ - Raleigh,,111,,Final,111
8    T,98,Univ of Nebraska - Lincoln,,110,,Final,110
8    T,99,Univ of Akron,,110,,Final,110
10,103,Univ of Calif - Berkeley,,105,,Final,105
11,74,Univ of Southern California,,112,10,Final,102
12   T,17,Univ of Victoria,,100,,,100
12   T,34,California State Univ - Northridge,,100,,,100
12   T,43,Univ of Calgary,,100,,,100
12   T,46,Washington Univ - St Louis,,100,,,100
12   T,56,Clemson Univ,,100,,,100
12   T,82,Georgia Institute of Technology,,100,,,100
12   T,88,The Ohio State University,,100,,,100
12   T,121,Univ of Wisconsin - Madison,,100,,,100
12   T,122,Univ of Texas - Austin,,100,,,100
12   T,134,Univ of Minnesota - Twin Cities,,100,,,100
12   T,162,CEFET-MG,,100,,,100
23,55,Univ of North Carolina - Charlotte,5,100,,,95
24,13,Univ of Kansas - Lawrence,,100,10,,90
25   T,20,Clarkson University,,80,,,80
25   T,21,Univ of Colorado - Boulder,,80,,,80
25   T,22,South Dakota School of Mines & Tech,,80,,,80
25   T,23,Embry-Riddle Aero Univ - Daytona Beach,,80,,,80
25   T,27,California State Univ - Fullerton,,80,,,80
25   T,31,York College of Pennsylvania,,80,,,80
25   T,32,Univ of Calif - Los Angeles,,80,,,80
25   T,39,Univ of Central Florida,,80,,,80
25   T,41,Univ of British Columbia,,80,,,80
25   T,42,Univ of Maryland - College Park,,80,,,80
25   T,51,Minnesota State University - Mankato,,80,,,80
25   T,57,Univ of Pittsburgh - Pittsburgh,,80,,,80
25   T,58,Drexel Univ,,80,,,80
25   T,72,Univ of Cincinnati,,80,,,80
25   T,73,Carleton Univ,,80,,,80
25   T,80,Univ of Calif - San Diego,,80,,,80
25   T,81,California State Poly Univ - Pomona,,80,,,80
25   T,86,Villanova Univ,,80,,,80
25   T,89,Mississippi State Univ,,80,,,80
25   T,96,Univ of British Columbia - Okanagan,,80,,,80
25   T,97,Univ of South Florida,,80,,,80
25   T,101,Arizona State Univ - Tempe,,80,,,80
25   T,108,Brown Univ,,80,,,80
25   T,119,Univ of New Hampshire,,80,,,80
25   T,124,Univ of Connecticut,,80,,,80
25   T,137,Iowa State Univ,,80,,,80
25   T,140,Texas A&M Univ - College Station,,80,,,80
52   T,76,Oregon Inst of Tech,5,80,,,75
52   T,117,Missouri University of Science and Tech,5,80,,,75
54   T,18,Univ of Missouri,10,80,,,70
54   T,49,Univ of North Florida,10,80,,,70
54   T,78,Univ of Texas - Dallas,10,80,,,70
54   T,105,Rose Hulman Inst of Tech,10,80,,,70
54   T,142,Duke Univ,,80,10,,70
59   T,15,Lehigh Univ,,60,,,60
59   T,25,Kettering Univ,,60,,,60
59   T,26,California State Univ - Los Angeles,,60,,,60
59   T,29,California State Univ - Chico,,60,,,60
59   T,35,California Baptist University,,60,,,60
59   T,37,Michigan Tech Univ,,60,,,60
59   T,38,Univ of Michigan - Dearborn,,60,,,60
59   T,45,Lawrence Technological Univ,,60,,,60
59   T,47,Liberty Univ,,60,,,60
59   T,52,Univ of Manitoba,,60,,,60
59   T,61,Kennesaw State University,,60,,,60
59   T,63,Universidad Metropolitana,,60,,,60
59   T,66,South Dakota State Univ,,60,,,60
59   T,71,Oklahoma State Univ,,60,,,60
59   T,83,Western Michigan Univ,,60,,,60
59   T,90,Sacramento State Univ,,60,,,60
59   T,92,Univ of Ottawa,,60,,,60
59   T,93,Wichita State Univ,,60,,,60
59   T,94,Temple Univ,,60,,,60
59   T,106,Old Dominion Univ,,60,,,60
59   T,110,Univ of Illinois - Chicago,,60,,,60
59   T,111,Oakland University,,60,,,60
59   T,115,Univ of Texas - Arlington,,60,,,60
59   T,120,Univ of Toledo,,60,,,60
59   T,126,Univ of Puerto Rico-Mayaquez,,60,,,60
59   T,127,Univ of Virginia,,60,,,60
59   T,141,Univ of Kentucky,,60,,,60
59   T,144,Kansas State Univ,,60,,,60
87   T,64,Univ of Saskatchewan,5,60,,,55
87   T,91,Tennessee Tech Univ,5,60,,,55
87   T,102,Univ of North Texas,5,60,,,55
90   T,24,Colorado State University,10,60,,,50
90   T,30,Missouri State University,,60,10,,50
90   T,48,Colorado Mesa University,,60,10,,50
90   T,60,Univ of Hartford,,60,10,,50
90   T,68,Univ of Alberta,10,60,,,50
90   T,69,Universite de Sherbrooke,10,60,,,50
90   T,113,Univ of Oklahoma,,60,10,,50
97,107,Florida Atlantic Univ,5,60,10,,45
98   T,16,Grand Valley State Univ,,40,,,40
98   T,40,Univ of Calif - Irvine,,40,,,40
98   T,79,Universidad Panamericana Sede Guadalajar,,40,,,40
98   T,132,Univ of Massachusetts - Lowell,,40,,,40
98   T,136,Texas Tech Univ,,40,,,40
103  T,12,Purdue Univ - Northwest,5,40,,,35
103  T,114,Saginaw Valley State Univ,5,60,20,,35
105,65,Lakehead Univ,,40,10,,30
106,116,Washington State Univ,5,40,10,,25
107  T,104,Polytechnic Univ of Puerto Rico,,40,20,,20
107  T,123,West Virginia Univ,,20,,,20
109,109,Univ of Minnesota - Duluth,5,20,,,15
110  T,59,Bradley Univ,,40,30,,10
110  T,67,UP Aguascalientes,,20,50,,10
110  T,100,Alabama A & M Univ,,40,50,,10
110  T,118,Univ of Georgia,,60,50,,10
110  T,128,Universidad Autonoma Estado Mexico,,20,10,,10
,62,Saint Louis University,,,,,
,70,Queen's Univ,,,,,
,75,Florida International Univ,,,,,
,84,Univ of Arizona,,,,,
,129,Instituto Tecnologico de Chihuahua,,,,,
,147,Univ of Alabama - Tuscaloosa,,,,,
,151,Syracuse Univ,,,,,
