Place,,Car Num,,,Team,,,,,,,Time R,,,,Time L,,,,,Cones,,AdjTime,,,,Time R,,,,,Time L,,,,,Cones,,AdjTime,,,Time R,,,,,Time L,,,Cones,,AdjTime,,,Time R,,,,Time L,,,Cones,AdjTime,,,Best Time,,,Penalty,,,Score
54,,78,,,Univ of Texas - Dallas,,,,,,,5.797,,,,5.687,,,,,2,,5.992,,,,5.717,,,,,5.527,,,,,,,5.622,,,6,,,,,5.72,,,,,5.86,,,5.684,,,,5.583,,,,5.633,,,5.622,,,,,,27.76
55,,63,,,Universidad Metropolitana,,,,,,,5.767,,,,5.6,,,,,,,5.683,,,,5.853,,,,,5.434,,,,,4,,6.143,,,5.763,,,,,5.51,,,,,5.636,,,5.606,,,,5.303,,,3,5.829,,,5.636,,,,,,27.01
56,,49,,,Univ of North Florida,,,,,,,5.887,,,,,,,,,,,DNF,,,,5.883,,,,,5.407,,,,,,,5.645,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,5.645,,,,,,26.53
57,,74,,,Univ of Southern California,,,,,,,5.823,,,,5.717,,,,,,,5.77,,,,5.717,,,,,5.597,,,,,,,5.657,,,5.66,,,,,5.719,,,,,5.689,,,5.424,,,,,,,,DNF,,,5.657,,,,,,25.89
58,,55,,,Univ of North Carolina - Charlotte,,,,,,,5.91,,,,6.44,,,,,,,6.175,,,,6.126,,,,,5.87,,,,,,,5.998,,,5.836,,,,,5.56,,,1,,5.823,,,5.656,,,,5.67,,,,5.663,,,5.663,,,,,,25.57
59,,142,,,Duke Univ,,,,,,,5.73,,,,5.604,,,,,,,5.667,,,,5.647,,,,,5.754,,,,,1,,5.825,,,5.977,,,,,5.876,,,,,5.926,,,6.007,,,,5.51,,,,5.758,,,5.667,,,,,,25.36
60,,17,,,Univ of Victoria,,,,,,,5.77,,,,5.577,,,,,,,5.673,,,,6.09,,,,,5.41,,,,,,,5.75,,,6.18,,,,,5.71,,,,,5.945,,,5.906,,,,5.51,,,,5.708,,,5.673,,,,,,25.05
61,,22,,,South Dakota School of Mines & Tech,,,,,,,6.333,,,,5.83,,,,,,,6.081,,,,6.03,,,,,5.724,,,,,,,5.877,,,5.896,,,,,5.906,,,,,5.901,,,5.76,,,,5.593,,,,5.676,,,5.676,,,,,,24.89
62,,141,,,Univ of Kentucky,,,,,,,5.934,,,,5.816,,,,,,,5.875,,,,6.267,,,,,5.703,,,,,,,5.985,,,5.69,,,,,5.917,,,,,5.803,,,5.76,,,,5.714,,,,5.737,,,5.737,,,,,,21.75
63,,45,,,Lawrence Technological Univ,,,,,,,5.703,,,,,,,,,,,DNF,,,,6.26,,,,,6.214,,,,,5,,6.862,,,5.896,,,,,5.67,,,,,5.783,,,5.874,,,,5.723,,,3,6.173,,,5.783,,,,,,19.45
64,,21,,,Univ of Colorado - Boulder,,,,,,,5.7,,,,6.42,,,,,,,6.06,,,,5.477,,,,,5.337,,,,,,,DNF,,,6.217,,,,,6.12,,,,,6.168,,,5.793,,,,5.294,,,2,5.793,,,5.793,,,,,,18.95
65,,53,,,Michigan State University,,,,,,,5.824,,,,,,,,,,,DNF,,,,6.01,,,,,5.56,,,,,1,,5.91,,,6.323,,,,,6.3,,,,,6.311,,,6.966,,,,5.953,,,,6.459,,,5.91,,,,,,13.36
66,,42,,,Univ of Maryland - College Park,,,,,,,6.503,,,,6.603,,,,,,,6.553,,,,6.147,,,,,5.774,,,,,,,5.96,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,5.96,,,,,,11.07
67 T,,57,,,Univ of Pittsburgh - Pittsburgh,,,,,,,,,,,,,,,,,,DNF,,,,6.443,,,,,6.893,,,,,2,,6.918,,,6.01,,,,,5.917,,,,,5.963,,,,,,,,,,,DNA,,,5.963,,,,,,10.94
67 T,,121,,,Univ of Wisconsin - Madison,,,,,,,7.517,,,,6.36,,,,,,,6.938,,,,6.36,,,,,5.567,,,,,,,5.963,,,6.224,,,,,5.69,,,2,,6.207,,,,,,,,,,,DNF,,,5.963,,,,,,10.94
69,,27,,,California State Univ - Fullerton,,,,,,,6.197,,,,5.776,,,,,,,5.986,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,5.986,,,,,,9.91
70,,111,,,Oakland University,,,,,,,5.88,,,,5.607,,,,,2,,5.993,,,,,,,,,,,,,,,,DNF,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,5.993,,,,,,9.6
71,,30,,,Missouri State University,,,,,,,6.8,,,,6.163,,,,,,,6.481,,,,6.167,,,,,,,,,,,,DNF,,,6.893,,,,,6.19,,,,,6.541,,,6.427,,,,5.786,,,,6.106,,,6.106,,,,,,4.71
72,,92,,,Univ of Ottawa,,,,,,,6.384,,,,6.197,,,,,2,,6.54,,,,6.23,,,,,5.986,,,,,,,6.108,,,7.004,,,,,6.797,,,,,6.9,,,6.49,,,,6.147,,,,6.318,,,6.108,,,,,,4.63
73 T,,108,,,Brown Univ,,,,,,,8.707,,,,6.953,,,,,,,7.83,,,,6.397,,,,,5.88,,,,,,,6.138,,,7.976,,,,,8.09,,,2,,8.283,,,8.506,,,,7.6,,,,8.053,,,6.138,,,,,,3.5
73 T,,60,,,Univ of Hartford,,,,,,,7.297,,,,6.923,,,,,,,7.11,,,,6.383,,,,,6.863,,,,,,,6.623,,,6.41,,,,,6.083,,,,,6.246,,,6.103,,,,5.93,,,1,6.141,,,6.141,,,,,,3.5
73 T,,76,,,Oregon Inst of Tech,,,,,,,7.293,,,,6.407,,,,,,,6.85,,,,6.303,,,,,6.123,,,,,,,6.213,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,6.213,,,,,,3.5
73 T,,127,,,Univ of Virginia,,,,,,,6.903,,,,6.39,,,,,3,,7.021,,,,6.587,,,,,5.917,,,,,,,6.252,,,7.403,,,,,6.806,,,,,7.104,,,6.493,,,,6.244,,,,6.368,,,6.252,,,,,,3.5
,,,,,,,,,,,,Driver 1 Run 1,,,,,,,,,,,,,,,Driver 1 Run 2,,,,,,,,,,,,,,,Driver 2 Run 1,,,,,,,,,,,,,Driver 2 Run 2,,,,,,,,,,,,,,,,,
73 T,,26,,,California State Univ - Los Angeles,,,,,,,7.037,,,,6.41,,,,,1,,6.848,,,,6.177,,,,,6.07,,,,,3,,6.498,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,6.498,,,,,,3.5
73 T,,31,,,York College of Pennsylvania,,,,,,,8.687,,,,,,,,,,,DNF,,,,6.43,,,,,6.694,,,,,,,6.562,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,6.562,,,,,,3.5
73 T,,122,,,Univ of Texas - Austin,,,,,,,6.457,,,,,,,,,,,DNF,,,,7.01,,,,,6.26,,,,,,,6.635,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,6.635,,,,,,3.5
73 T,,136,,,Texas Tech Univ,,,,,,,,,,,,,,,,,,DNF,,,,7.366,,,,,6.246,,,,,,,6.806,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,6.806,,,,,,3.5
73 T,,107,,,Florida Atlantic Univ,,,,,,,6.947,,,,6.527,,,,,1,,6.862,,,,,,,,,,,,,,,,DNF,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,6.862,,,,,,3.5
73 T,,93,,,Wichita State Univ,,,,,,,8.187,,,,7.587,,,,,,,7.887,,,,7.477,,,,,6.294,,,,,1,,7.01,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,7.01,,,,,,3.5
73 T,,102,,,Univ of North Texas,,,,,,,6.883,,,,,,,,,1,,DNF,,,,7.574,,,,,7.153,,,,,,,7.363,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,7.363,,,,,,3.5
73 T,,91,,,Tennessee Tech Univ,,,,,,,9.786,,,,8.026,,,,,2,,9.156,,,,,,,,,,,,,,,,DNF,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,9.156,,,,,,3.5
,,12,,,Purdue Univ - Northwest,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,15,,,Lehigh Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,24,,,Colorado State University,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,25,,,Kettering Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,38,,,Univ of Michigan - Dearborn,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,39,,,Univ of Central Florida,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,40,,,Univ of Calif - Irvine,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,41,,,Univ of British Columbia,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,46,,,Washington Univ - St Louis,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,47,,,Liberty Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,52,,,Univ of Manitoba,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,59,,,Bradley Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,62,,,Saint Louis University,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,64,,,Univ of Saskatchewan,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,65,,,Lakehead Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,66,,,South Dakota State Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,67,,,UP Aguascalientes,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,68,,,Univ of Alberta,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,69,,,Universite de Sherbrooke,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,70,,,Queen's Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,75,,,Florida International Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,79,,,Universidad Panamericana Sede Guadalajar,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,84,,,Univ of Arizona,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,90,,,Sacramento State Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,98,,,Univ of Nebraska - Lincoln,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,100,,,Alabama A & M Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,104,,,Polytechnic Univ of Puerto Rico,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,109,,,Univ of Minnesota - Duluth,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,116,,,Washington State Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,118,,,Univ of Georgia,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,,,,,,,,,,,Driver 1 Run 1,,,,,,,,,,,,,,,Driver 1 Run 2,,,,,,,,,,,,,,,Driver 2 Run 1,,,,,,,,,,,,,Driver 2 Run 2,,,,,,,,,,,,,,,,,
,,120,,,Univ of Toledo,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,123,,,West Virginia Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,128,,,Universidad Autonoma Estado Mexico,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,129,,,Instituto Tecnologico de Chihuahua,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,132,,,Univ of Massachusetts - Lowell,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,147,,,Univ of Alabama - Tuscaloosa,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
,,151,,,Syracuse Univ,,,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,,,,DNA,,,,,,,,,,,,,DNA,,,,,,,,,,,DNA,,,DNA,,,,,,
